game,level,baseline_actions,source_scorecard
ar25,1,32,91aa2f10-5dc3-4471-80e5-9e8895db5de1
ar25,2,50,91aa2f10-5dc3-4471-80e5-9e8895db5de1
ar25,3,75,91aa2f10-5dc3-4471-80e5-9e8895db5de1
ar25,4,37,91aa2f10-5dc3-4471-80e5-9e8895db5de1
ar25,5,89,91aa2f10-5dc3-4471-80e5-9e8895db5de1
ar25,6,159,91aa2f10-5dc3-4471-80e5-9e8895db5de1
ar25,7,233,91aa2f10-5dc3-4471-80e5-9e8895db5de1
ar25,8,73,91aa2f10-5dc3-4471-80e5-9e8895db5de1
bp35,1,21,91aa2f10-5dc3-4471-80e5-9e8895db5de1
bp35,2,48,91aa2f10-5dc3-4471-80e5-9e8895db5de1
bp35,3,44,91aa2f10-5dc3-4471-80e5-9e8895db5de1
bp35,4,38,91aa2f10-5dc3-4471-80e5-9e8895db5de1
bp35,5,33,91aa2f10-5dc3-4471-80e5-9e8895db5de1
bp35,6,87,91aa2f10-5dc3-4471-80e5-9e8895db5de1
bp35,7,86,91aa2f10-5dc3-4471-80e5-9e8895db5de1
bp35,8,131,91aa2f10-5dc3-4471-80e5-9e8895db5de1
bp35,9,163,91aa2f10-5dc3-4471-80e5-9e8895db5de1
cd82,1,55,91aa2f10-5dc3-4471-80e5-9e8895db5de1
cd82,2,8,91aa2f10-5dc3-4471-80e5-9e8895db5de1
cd82,3,41,91aa2f10-5dc3-4471-80e5-9e8895db5de1
cd82,4,21,91aa2f10-5dc3-4471-80e5-9e8895db5de1
cd82,5,23,91aa2f10-5dc3-4471-80e5-9e8895db5de1
cd82,6,23,91aa2f10-5dc3-4471-80e5-9e8895db5de1
cn04,1,29,91aa2f10-5dc3-4471-80e5-9e8895db5de1
cn04,2,54,91aa2f10-5dc3-4471-80e5-9e8895db5de1
cn04,3,85,91aa2f10-5dc3-4471-80e5-9e8895db5de1
cn04,4,300,91aa2f10-5dc3-4471-80e5-9e8895db5de1
cn04,5,208,91aa2f10-5dc3-4471-80e5-9e8895db5de1
cn04,6,113,91aa2f10-5dc3-4471-80e5-9e8895db5de1
dc22,1,59,91aa2f10-5dc3-4471-80e5-9e8895db5de1
dc22,2,102,91aa2f10-5dc3-4471-80e5-9e8895db5de1
dc22,3,67,91aa2f10-5dc3-4471-80e5-9e8895db5de1
dc22,4,98,91aa2f10-5dc3-4471-80e5-9e8895db5de1
dc22,5,324,91aa2f10-5dc3-4471-80e5-9e8895db5de1
dc22,6,578,91aa2f10-5dc3-4471-80e5-9e8895db5de1
ft09,1,43,91aa2f10-5dc3-4471-80e5-9e8895db5de1
ft09,2,12,91aa2f10-5dc3-4471-80e5-9e8895db5de1
ft09,3,23,91aa2f10-5dc3-4471-80e5-9e8895db5de1
ft09,4,28,91aa2f10-5dc3-4471-80e5-9e8895db5de1
ft09,5,65,91aa2f10-5dc3-4471-80e5-9e8895db5de1
ft09,6,37,91aa2f10-5dc3-4471-80e5-9e8895db5de1
g50t,1,78,91aa2f10-5dc3-4471-80e5-9e8895db5de1
g50t,2,175,91aa2f10-5dc3-4471-80e5-9e8895db5de1
g50t,3,179,91aa2f10-5dc3-4471-80e5-9e8895db5de1
g50t,4,230,91aa2f10-5dc3-4471-80e5-9e8895db5de1
g50t,5,96,91aa2f10-5dc3-4471-80e5-9e8895db5de1
g50t,6,54,91aa2f10-5dc3-4471-80e5-9e8895db5de1
g50t,7,67,91aa2f10-5dc3-4471-80e5-9e8895db5de1
ka59,1,28,91aa2f10-5dc3-4471-80e5-9e8895db5de1
ka59,2,109,91aa2f10-5dc3-4471-80e5-9e8895db5de1
ka59,3,51,91aa2f10-5dc3-4471-80e5-9e8895db5de1
ka59,4,51,91aa2f10-5dc3-4471-80e5-9e8895db5de1
ka59,5,33,91aa2f10-5dc3-4471-80e5-9e8895db5de1
ka59,6,132,91aa2f10-5dc3-4471-80e5-9e8895db5de1
ka59,7,326,91aa2f10-5dc3-4471-80e5-9e8895db5de1
lf52,1,32,91aa2f10-5dc3-4471-80e5-9e8895db5de1
lf52,2,81,91aa2f10-5dc3-4471-80e5-9e8895db5de1
lf52,3,60,91aa2f10-5dc3-4471-80e5-9e8895db5de1
lf52,4,71,91aa2f10-5dc3-4471-80e5-9e8895db5de1
lf52,5,205,91aa2f10-5dc3-4471-80e5-9e8895db5de1
lf52,6,148,91aa2f10-5dc3-4471-80e5-9e8895db5de1
lf52,7,244,91aa2f10-5dc3-4471-80e5-9e8895db5de1
lf52,8,109,91aa2f10-5dc3-4471-80e5-9e8895db5de1
lf52,9,164,91aa2f10-5dc3-4471-80e5-9e8895db5de1
lf52,10,225,91aa2f10-5dc3-4471-80e5-9e8895db5de1
lp85,1,17,91aa2f10-5dc3-4471-80e5-9e8895db5de1
lp85,2,38,91aa2f10-5dc3-4471-80e5-9e8895db5de1
lp85,3,31,91aa2f10-5dc3-4471-80e5-9e8895db5de1
lp85,4,16,91aa2f10-5dc3-4471-80e5-9e8895db5de1
lp85,5,41,91aa2f10-5dc3-4471-80e5-9e8895db5de1
lp85,6,60,91aa2f10-5dc3-4471-80e5-9e8895db5de1
lp85,7,26,91aa2f10-5dc3-4471-80e5-9e8895db5de1
lp85,8,159,91aa2f10-5dc3-4471-80e5-9e8895db5de1
ls20,1,22,91aa2f10-5dc3-4471-80e5-9e8895db5de1
ls20,2,123,91aa2f10-5dc3-4471-80e5-9e8895db5de1
ls20,3,73,91aa2f10-5dc3-4471-80e5-9e8895db5de1
ls20,4,84,91aa2f10-5dc3-4471-80e5-9e8895db5de1
ls20,5,96,91aa2f10-5dc3-4471-80e5-9e8895db5de1
ls20,6,192,91aa2f10-5dc3-4471-80e5-9e8895db5de1
ls20,7,186,91aa2f10-5dc3-4471-80e5-9e8895db5de1
m0r0,1,30,91aa2f10-5dc3-4471-80e5-9e8895db5de1
m0r0,2,111,91aa2f10-5dc3-4471-80e5-9e8895db5de1
m0r0,3,203,91aa2f10-5dc3-4471-80e5-9e8895db5de1
m0r0,4,26,91aa2f10-5dc3-4471-80e5-9e8895db5de1
m0r0,5,500,91aa2f10-5dc3-4471-80e5-9e8895db5de1
m0r0,6,237,91aa2f10-5dc3-4471-80e5-9e8895db5de1
r11l,1,22,91aa2f10-5dc3-4471-80e5-9e8895db5de1
r11l,2,33,91aa2f10-5dc3-4471-80e5-9e8895db5de1
r11l,3,51,91aa2f10-5dc3-4471-80e5-9e8895db5de1
r11l,4,26,91aa2f10-5dc3-4471-80e5-9e8895db5de1
r11l,5,52,91aa2f10-5dc3-4471-80e5-9e8895db5de1
r11l,6,49,91aa2f10-5dc3-4471-80e5-9e8895db5de1
re86,1,26,91aa2f10-5dc3-4471-80e5-9e8895db5de1
re86,2,42,91aa2f10-5dc3-4471-80e5-9e8895db5de1
re86,3,86,91aa2f10-5dc3-4471-80e5-9e8895db5de1
re86,4,108,91aa2f10-5dc3-4471-80e5-9e8895db5de1
re86,5,189,91aa2f10-5dc3-4471-80e5-9e8895db5de1
re86,6,139,91aa2f10-5dc3-4471-80e5-9e8895db5de1
re86,7,424,91aa2f10-5dc3-4471-80e5-9e8895db5de1
re86,8,241,91aa2f10-5dc3-4471-80e5-9e8895db5de1
s5i5,1,20,91aa2f10-5dc3-4471-80e5-9e8895db5de1
s5i5,2,89,91aa2f10-5dc3-4471-80e5-9e8895db5de1
s5i5,3,106,91aa2f10-5dc3-4471-80e5-9e8895db5de1
s5i5,4,54,91aa2f10-5dc3-4471-80e5-9e8895db5de1
s5i5,5,162,91aa2f10-5dc3-4471-80e5-9e8895db5de1
s5i5,6,38,91aa2f10-5dc3-4471-80e5-9e8895db5de1
s5i5,7,86,91aa2f10-5dc3-4471-80e5-9e8895db5de1
s5i5,8,83,91aa2f10-5dc3-4471-80e5-9e8895db5de1
sb26,1,18,91aa2f10-5dc3-4471-80e5-9e8895db5de1
sb26,2,28,91aa2f10-5dc3-4471-80e5-9e8895db5de1
sb26,3,18,91aa2f10-5dc3-4471-80e5-9e8895db5de1
sb26,4,19,91aa2f10-5dc3-4471-80e5-9e8895db5de1
sb26,5,31,91aa2f10-5dc3-4471-80e5-9e8895db5de1
sb26,6,23,91aa2f10-5dc3-4471-80e5-9e8895db5de1
sb26,7,58,91aa2f10-5dc3-4471-80e5-9e8895db5de1
sb26,8,18,91aa2f10-5dc3-4471-80e5-9e8895db5de1
sc25,1,36,91aa2f10-5dc3-4471-80e5-9e8895db5de1
sc25,2,6,91aa2f10-5dc3-4471-80e5-9e8895db5de1
sc25,3,32,91aa2f10-5dc3-4471-80e5-9e8895db5de1
sc25,4,83,91aa2f10-5dc3-4471-80e5-9e8895db5de1
sc25,5,143,91aa2f10-5dc3-4471-80e5-9e8895db5de1
sc25,6,50,91aa2f10-5dc3-4471-80e5-9e8895db5de1
sk48,1,61,91aa2f10-5dc3-4471-80e5-9e8895db5de1
sk48,2,177,91aa2f10-5dc3-4471-80e5-9e8895db5de1
sk48,3,101,91aa2f10-5dc3-4471-80e5-9e8895db5de1
sk48,4,103,91aa2f10-5dc3-4471-80e5-9e8895db5de1
sk48,5,230,91aa2f10-5dc3-4471-80e5-9e8895db5de1
sk48,6,181,91aa2f10-5dc3-4471-80e5-9e8895db5de1
sk48,7,125,91aa2f10-5dc3-4471-80e5-9e8895db5de1
sk48,8,92,91aa2f10-5dc3-4471-80e5-9e8895db5de1
sp80,1,39,91aa2f10-5dc3-4471-80e5-9e8895db5de1
sp80,2,58,91aa2f10-5dc3-4471-80e5-9e8895db5de1
sp80,3,25,91aa2f10-5dc3-4471-80e5-9e8895db5de1
sp80,4,148,91aa2f10-5dc3-4471-80e5-9e8895db5de1
sp80,5,96,91aa2f10-5dc3-4471-80e5-9e8895db5de1
sp80,6,152,91aa2f10-5dc3-4471-80e5-9e8895db5de1
su15,1,22,91aa2f10-5dc3-4471-80e5-9e8895db5de1
su15,2,42,91aa2f10-5dc3-4471-80e5-9e8895db5de1
su15,3,26,91aa2f10-5dc3-4471-80e5-9e8895db5de1
su15,4,115,91aa2f10-5dc3-4471-80e5-9e8895db5de1
su15,5,36,91aa2f10-5dc3-4471-80e5-9e8895db5de1
su15,6,31,91aa2f10-5dc3-4471-80e5-9e8895db5de1
su15,7,8,91aa2f10-5dc3-4471-80e5-9e8895db5de1
su15,8,40,91aa2f10-5dc3-4471-80e5-9e8895db5de1
su15,9,41,91aa2f10-5dc3-4471-80e5-9e8895db5de1
